Combined_Group,Media,Sample_Type,X_Axis_Time_Days,OD_mean,OD_std,OD_p025,OD_p975,OD_p25,OD_p75,OD_count
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,0,0.042249999999999996,0.001707825127659931,0.04015,0.043925,0.0415,0.04325,4
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,1,0.05408333333333334,0.02294046973178953,0.041275,0.10542499999999999,0.042,0.049,12
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,2,0.0715,0.025021808669456913,0.043274999999999994,0.11789999999999999,0.059,0.07525,12
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,3,0.12575,0.04371420613692782,0.06295,0.177,0.086,0.16575,12
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,4,0.11858333333333333,0.05156718183519672,0.051475,0.22454999999999997,0.10325,0.12075,12
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,5,0.0823,0.02591460334766224,0.036899999999999995,0.108875,0.07625,0.10075,10
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,6,0.0877,0.021087384327549443,0.05045,0.111875,0.08625,0.09775,10
No Glucose + No Cyano,No Glucose,No Cyano,0,0.0456,0.0055045435778091545,0.042,0.0541,0.042,0.046,5
No Glucose + No Cyano,No Glucose,No Cyano,1,0.0475,0.004910741758164909,0.04,0.054,0.044,0.050749999999999997,14
No Glucose + No Cyano,No Glucose,No Cyano,2,0.05285714285714286,0.01161469323318954,0.041325,0.076,0.043,0.05775,14
No Glucose + No Cyano,No Glucose,No Cyano,3,0.06642857142857143,0.020451497164357832,0.048,0.097675,0.04825,0.0865,14
No Glucose + No Cyano,No Glucose,No Cyano,4,0.07414285714285715,0.023513849087316584,0.050975,0.11405,0.0535,0.0895,14
No Glucose + No Cyano,No Glucose,No Cyano,5,0.06783333333333334,0.01621914319748753,0.052,0.09345,0.05375,0.0785,12
No Glucose + No Cyano,No Glucose,No Cyano,6,0.09316666666666668,0.039597597111058355,0.054275,0.141175,0.05675,0.138,12
Regular HS + No Cyano,Regular HS,No Cyano,0,0.0422,0.002167948338867878,0.0392,0.044,0.041,0.044,5
Regular HS + No Cyano,Regular HS,No Cyano,1,0.06264285714285714,0.02797143362255676,0.045325,0.12892499999999993,0.049,0.06774999999999999,14
Regular HS + No Cyano,Regular HS,No Cyano,2,0.08707142857142858,0.05794488666060096,0.051,0.2293499999999999,0.05825,0.08474999999999999,14
Regular HS + No Cyano,Regular HS,No Cyano,3,0.09985714285714285,0.029257102077581466,0.065975,0.147725,0.0815,0.1275,14
Regular HS + No Cyano,Regular HS,No Cyano,4,0.11085714285714286,0.03202608826676042,0.070975,0.174,0.08825,0.12,14
Regular HS + No Cyano,Regular HS,No Cyano,5,0.13649999999999998,0.044200987237020775,0.063825,0.195725,0.1175,0.17375,12
Regular HS + No Cyano,Regular HS,No Cyano,6,0.17958333333333334,0.059212189060474145,0.077275,0.26890000000000003,0.16475,0.20225,12
