Combined_Group,Media,Sample_Type,X_Axis_Time_Days,OD_mean,OD_p025,OD_p975,OD_p25,OD_p75
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,1.0,0.041,0.04005,0.04195,0.0405,0.0415
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,2.0,0.04175,0.041075,0.042,0.04175,0.042
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,3.0,0.08549999999999999,0.0455,0.1187,0.059,0.116
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,4.0,0.16575,0.151975,0.17654999999999998,0.16075,0.17250000000000001
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,5.0,0.11549999999999999,0.108225,0.122775,0.11025,0.12075
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,6.0,0.10400000000000001,0.10007500000000001,0.109625,0.10075,0.10625
No Glucose + Filtered Cyano,No Glucose,Filtered Cyano,7.0,0.10400000000000001,0.09707500000000001,0.112625,0.09775,0.10925
No Glucose + No Cyano,No Glucose,No Cyano,1.0,0.04666666666666667,0.042050000000000004,0.0544,0.042499999999999996,0.049
No Glucose + No Cyano,No Glucose,No Cyano,2.0,0.043666666666666666,0.04,0.047,0.04025,0.047
No Glucose + No Cyano,No Glucose,No Cyano,3.0,0.043333333333333335,0.041125,0.047375,0.04225,0.043
No Glucose + No Cyano,No Glucose,No Cyano,4.0,0.048666666666666664,0.048,0.050749999999999997,0.048,0.04875
No Glucose + No Cyano,No Glucose,No Cyano,5.0,0.05316666666666667,0.050375,0.055,0.053,0.0545
No Glucose + No Cyano,No Glucose,No Cyano,6.0,0.05333333333333334,0.052,0.054875,0.05225,0.054
No Glucose + No Cyano,No Glucose,No Cyano,7.0,0.0565,0.054125,0.059625,0.05525,0.057
No Glucose + Unfiltered Cyano,No Glucose,Unfiltered Cyano,1.0,0.3143333333333333,0.2454,0.40309999999999996,0.267,0.35
No Glucose + Unfiltered Cyano,No Glucose,Unfiltered Cyano,2.0,0.29133333333333333,0.203875,0.3555,0.2385,0.34349999999999997
No Glucose + Unfiltered Cyano,No Glucose,Unfiltered Cyano,3.0,0.33216666666666667,0.20687499999999998,0.430875,0.257,0.3885
No Glucose + Unfiltered Cyano,No Glucose,Unfiltered Cyano,4.0,0.4255,0.27437500000000004,0.527375,0.34450000000000003,0.50825
No Glucose + Unfiltered Cyano,No Glucose,Unfiltered Cyano,5.0,0.29833333333333334,0.202,0.369375,0.23425,0.34249999999999997
No Glucose + Unfiltered Cyano,No Glucose,Unfiltered Cyano,6.0,0.258,0.19,0.29674999999999996,0.21775,0.29374999999999996
No Glucose + Unfiltered Cyano,No Glucose,Unfiltered Cyano,7.0,0.2745,0.20350000000000001,0.317875,0.23099999999999998,0.30874999999999997
Regular HS + Filtered Cyano,Regular HS,Filtered Cyano,1.0,0.042333333333333334,0.042,0.042949999999999995,0.042,0.042499999999999996
Regular HS + Filtered Cyano,Regular HS,Filtered Cyano,2.0,0.043000000000000003,0.042125,0.043875,0.043,0.043
Regular HS + Filtered Cyano,Regular HS,Filtered Cyano,3.0,0.043166666666666666,0.042125,0.04475,0.043,0.043
Regular HS + Filtered Cyano,Regular HS,Filtered Cyano,4.0,0.06983333333333334,0.04125,0.08587499999999999,0.0525,0.0845
Regular HS + Filtered Cyano,Regular HS,Filtered Cyano,5.0,0.049499999999999995,0.044125,0.058875,0.045,0.055
Regular HS + Filtered Cyano,Regular HS,Filtered Cyano,6.0,0.15733333333333333,0.043125,0.233625,0.082,0.21475
Regular HS + Filtered Cyano,Regular HS,Filtered Cyano,7.0,0.22316666666666665,0.065125,0.329,0.11875000000000001,0.3075
Regular HS + No Cyano,Regular HS,No Cyano,1.0,0.04133333333333333,0.0391,0.04385,0.04,0.042499999999999996
Regular HS + No Cyano,Regular HS,No Cyano,2.0,0.048666666666666664,0.045375,0.050875,0.04825,0.04975
Regular HS + No Cyano,Regular HS,No Cyano,3.0,0.06883333333333333,0.059375,0.08437499999999999,0.0625,0.072
Regular HS + No Cyano,Regular HS,No Cyano,4.0,0.09450000000000001,0.08125,0.13175,0.0835,0.09275
Regular HS + No Cyano,Regular HS,No Cyano,5.0,0.09649999999999999,0.0845,0.109875,0.08825,0.1065
Regular HS + No Cyano,Regular HS,No Cyano,6.0,0.15433333333333335,0.125625,0.19587500000000002,0.1315,0.18225
Regular HS + No Cyano,Regular HS,No Cyano,7.0,0.21783333333333332,0.17825,0.2695,0.1905,0.251
Regular HS + Unfiltered Cyano,Regular HS,Unfiltered Cyano,1.0,0.2476666666666667,0.17250000000000001,0.2979,0.22200000000000003,0.28800000000000003
Regular HS + Unfiltered Cyano,Regular HS,Unfiltered Cyano,2.0,0.254,0.22325,0.296,0.22575,0.27475000000000005
Regular HS + Unfiltered Cyano,Regular HS,Unfiltered Cyano,3.0,0.44049999999999995,0.27325,0.6565000000000001,0.31425,0.593
Regular HS + Unfiltered Cyano,Regular HS,Unfiltered Cyano,4.0,0.5870000000000001,0.44675,0.7905,0.47125,0.70825
Regular HS + Unfiltered Cyano,Regular HS,Unfiltered Cyano,5.0,0.3721666666666666,0.2275,0.589125,0.26625,0.5135
Regular HS + Unfiltered Cyano,Regular HS,Unfiltered Cyano,6.0,0.375,0.297,0.471,0.31725000000000003,0.441
Regular HS + Unfiltered Cyano,Regular HS,Unfiltered Cyano,7.0,0.4226666666666667,0.3245,0.5726249999999999,0.32825000000000004,0.5305
