Sample,Media,Sample_Type,X_Axis_Time_Days,OD_mean,OD_std
Filtered Cyano 1,No Glucose,Filtered Cyano,0.0,0.046,0.0
Filtered Cyano 1,No Glucose,Filtered Cyano,1.0,0.067,0.0014142135623730963
Filtered Cyano 1,No Glucose,Filtered Cyano,2.0,0.1095,0.0035355339059327407
Filtered Cyano 1,No Glucose,Filtered Cyano,3.0,0.1105,0.0007071067811865482
Filtered Cyano 1,No Glucose,Filtered Cyano,4.0,0.089,0.0028284271247461927
Filtered Cyano 1,No Glucose,Filtered Cyano,5.0,0.093,0.0014142135623730963
Filtered Cyano 2,No Glucose,Filtered Cyano,0.0,0.10250000000000001,0.009192388155425111
Filtered Cyano 2,No Glucose,Filtered Cyano,1.0,0.07949999999999999,0.012020815280171303
Filtered Cyano 2,No Glucose,Filtered Cyano,2.0,0.067,0.012727922061357849
Filtered Cyano 2,No Glucose,Filtered Cyano,3.0,0.053500000000000006,0.006363961030678926
Filtered Cyano 2,No Glucose,Filtered Cyano,4.0,0.038,0.0028284271247461927
Filtered Cyano 2,No Glucose,Filtered Cyano,5.0,0.051000000000000004,0.0014142135623730937
Filtered Cyano 3,No Glucose,Filtered Cyano,0.0,0.049,0.0
Filtered Cyano 3,No Glucose,Filtered Cyano,1.0,0.068,0.0042426406871192745
Filtered Cyano 3,No Glucose,Filtered Cyano,2.0,0.08399999999999999,0.00565685424949238
Filtered Cyano 3,No Glucose,Filtered Cyano,3.0,0.1005,0.007778174593052015
Filtered Cyano 3,No Glucose,Filtered Cyano,4.0,0.0765,0.0007071067811865482
Filtered Cyano 3,No Glucose,Filtered Cyano,5.0,0.0865,0.0007071067811865482
No Cyano 1,No Glucose,No Cyano,0.0,0.0535,0.0007071067811865482
No Cyano 1,No Glucose,No Cyano,1.0,0.056,0.0014142135623730963
No Cyano 1,No Glucose,No Cyano,2.0,0.0975,0.0007071067811865482
No Cyano 1,No Glucose,No Cyano,3.0,0.111,0.007071067811865481
No Cyano 1,No Glucose,No Cyano,4.0,0.093,0.0014142135623730963
No Cyano 1,No Glucose,No Cyano,5.0,0.111,0.004242640687119289
No Cyano 2,No Glucose,No Cyano,0.0,0.051500000000000004,0.0035355339059327333
No Cyano 2,No Glucose,No Cyano,1.0,0.058499999999999996,0.0007071067811865408
No Cyano 2,No Glucose,No Cyano,2.0,0.086,0.0014142135623730816
No Cyano 2,No Glucose,No Cyano,3.0,0.1015,0.012020815280171303
No Cyano 2,No Glucose,No Cyano,4.0,0.075,0.0014142135623730963
No Cyano 2,No Glucose,No Cyano,5.0,0.1405,0.002121320343559615
